GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,TRUSTA,RES_ONLYA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,RP7E001
"G06003702167003","2005-2009",,,"California","06","Los Angeles County","037",,,"216700","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2167, Los Angeles County, California",222
"G06003702167004","2005-2009",,,"California","06","Los Angeles County","037",,,"216700","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 2167, Los Angeles County, California",684
"G06003702168001","2005-2009",,,"California","06","Los Angeles County","037",,,"216800","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2168, Los Angeles County, California",468
"G06003702168002","2005-2009",,,"California","06","Los Angeles County","037",,,"216800","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2168, Los Angeles County, California",452
"G06003702168003","2005-2009",,,"California","06","Los Angeles County","037",,,"216800","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2168, Los Angeles County, California",300
"G06003702168004","2005-2009",,,"California","06","Los Angeles County","037",,,"216800","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 2168, Los Angeles County, California",407
"G06003702169001","2005-2009",,,"California","06","Los Angeles County","037",,,"216900","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2169, Los Angeles County, California",306
"G06003702169002","2005-2009",,,"California","06","Los Angeles County","037",,,"216900","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2169, Los Angeles County, California",368
"G06003702169003","2005-2009",,,"California","06","Los Angeles County","037",,,"216900","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2169, Los Angeles County, California",387
"G06003702169004","2005-2009",,,"California","06","Los Angeles County","037",,,"216900","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 2169, Los Angeles County, California",234
"G06003702169005","2005-2009",,,"California","06","Los Angeles County","037",,,"216900","5",,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 2169, Los Angeles County, California",603
"G06003702169006","2005-2009",,,"California","06","Los Angeles County","037",,,"216900","6",,,,,,,,,,,,,,,,,,,,,,"Block Group 6, Census Tract 2169, Los Angeles County, California",732
"G06003702170001","2005-2009",,,"California","06","Los Angeles County","037",,,"217000","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2170, Los Angeles County, California",449
"G06003702170002","2005-2009",,,"California","06","Los Angeles County","037",,,"217000","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2170, Los Angeles County, California",293
"G06003702170003","2005-2009",,,"California","06","Los Angeles County","037",,,"217000","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2170, Los Angeles County, California",193
"G06003702170004","2005-2009",,,"California","06","Los Angeles County","037",,,"217000","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 2170, Los Angeles County, California",234
"G06003702170005","2005-2009",,,"California","06","Los Angeles County","037",,,"217000","5",,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 2170, Los Angeles County, California",196
"G06003702170006","2005-2009",,,"California","06","Los Angeles County","037",,,"217000","6",,,,,,,,,,,,,,,,,,,,,,"Block Group 6, Census Tract 2170, Los Angeles County, California",704
"G06003702170007","2005-2009",,,"California","06","Los Angeles County","037",,,"217000","7",,,,,,,,,,,,,,,,,,,,,,"Block Group 7, Census Tract 2170, Los Angeles County, California",952
"G06003702171001","2005-2009",,,"California","06","Los Angeles County","037",,,"217100","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2171, Los Angeles County, California",965
"G06003702171002","2005-2009",,,"California","06","Los Angeles County","037",,,"217100","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2171, Los Angeles County, California",502
"G06003702171003","2005-2009",,,"California","06","Los Angeles County","037",,,"217100","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2171, Los Angeles County, California",420
"G06003702171004","2005-2009",,,"California","06","Los Angeles County","037",,,"217100","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 2171, Los Angeles County, California",436
"G06003702171005","2005-2009",,,"California","06","Los Angeles County","037",,,"217100","5",,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 2171, Los Angeles County, California",414
"G06003702172001","2005-2009",,,"California","06","Los Angeles County","037",,,"217200","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2172, Los Angeles County, California",409
"G06003702172002","2005-2009",,,"California","06","Los Angeles County","037",,,"217200","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2172, Los Angeles County, California",361
"G06003702172003","2005-2009",,,"California","06","Los Angeles County","037",,,"217200","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2172, Los Angeles County, California",471
"G06003702172004","2005-2009",,,"California","06","Los Angeles County","037",,,"217200","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 2172, Los Angeles County, California",484
"G06003702181101","2005-2009",,,"California","06","Los Angeles County","037",,,"218110","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2181.10, Los Angeles County, California",827
"G06003702181102","2005-2009",,,"California","06","Los Angeles County","037",,,"218110","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2181.10, Los Angeles County, California",402
"G06003702181201","2005-2009",,,"California","06","Los Angeles County","037",,,"218120","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2181.20, Los Angeles County, California",931
"G06003702181202","2005-2009",,,"California","06","Los Angeles County","037",,,"218120","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2181.20, Los Angeles County, California",282
"G06003702181203","2005-2009",,,"California","06","Los Angeles County","037",,,"218120","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2181.20, Los Angeles County, California",213
"G06003702182101","2005-2009",,,"California","06","Los Angeles County","037",,,"218210","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2182.10, Los Angeles County, California",340
"G06003702182102","2005-2009",,,"California","06","Los Angeles County","037",,,"218210","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2182.10, Los Angeles County, California",528
"G06003702182103","2005-2009",,,"California","06","Los Angeles County","037",,,"218210","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2182.10, Los Angeles County, California",418
"G06003702182201","2005-2009",,,"California","06","Los Angeles County","037",,,"218220","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2182.20, Los Angeles County, California",402
"G06003702182202","2005-2009",,,"California","06","Los Angeles County","037",,,"218220","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2182.20, Los Angeles County, California",943
"G06003702182203","2005-2009",,,"California","06","Los Angeles County","037",,,"218220","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2182.20, Los Angeles County, California",208
"G06003702183001","2005-2009",,,"California","06","Los Angeles County","037",,,"218300","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2183, Los Angeles County, California",528
"G06003702183002","2005-2009",,,"California","06","Los Angeles County","037",,,"218300","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2183, Los Angeles County, California",323
"G06003702183003","2005-2009",,,"California","06","Los Angeles County","037",,,"218300","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2183, Los Angeles County, California",342
"G06003702183004","2005-2009",,,"California","06","Los Angeles County","037",,,"218300","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 2183, Los Angeles County, California",483
"G06003702183005","2005-2009",,,"California","06","Los Angeles County","037",,,"218300","5",,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 2183, Los Angeles County, California",478
"G06003702184001","2005-2009",,,"California","06","Los Angeles County","037",,,"218400","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2184, Los Angeles County, California",443
"G06003702184002","2005-2009",,,"California","06","Los Angeles County","037",,,"218400","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2184, Los Angeles County, California",436
"G06003702184003","2005-2009",,,"California","06","Los Angeles County","037",,,"218400","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2184, Los Angeles County, California",309
"G06003702184004","2005-2009",,,"California","06","Los Angeles County","037",,,"218400","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 2184, Los Angeles County, California",745
"G06003702185001","2005-2009",,,"California","06","Los Angeles County","037",,,"218500","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2185, Los Angeles County, California",387
"G06003702185002","2005-2009",,,"California","06","Los Angeles County","037",,,"218500","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2185, Los Angeles County, California",309
"G06003702185003","2005-2009",,,"California","06","Los Angeles County","037",,,"218500","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2185, Los Angeles County, California",491
"G06003702186001","2005-2009",,,"California","06","Los Angeles County","037",,,"218600","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2186, Los Angeles County, California",283
"G06003702186002","2005-2009",,,"California","06","Los Angeles County","037",,,"218600","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2186, Los Angeles County, California",431
"G06003702186003","2005-2009",,,"California","06","Los Angeles County","037",,,"218600","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2186, Los Angeles County, California",395
"G06003702186004","2005-2009",,,"California","06","Los Angeles County","037",,,"218600","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 2186, Los Angeles County, California",273
"G06003702187001","2005-2009",,,"California","06","Los Angeles County","037",,,"218700","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2187, Los Angeles County, California",398
"G06003702187002","2005-2009",,,"California","06","Los Angeles County","037",,,"218700","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2187, Los Angeles County, California",544
"G06003702187003","2005-2009",,,"California","06","Los Angeles County","037",,,"218700","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2187, Los Angeles County, California",673
"G06003702188001","2005-2009",,,"California","06","Los Angeles County","037",,,"218800","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2188, Los Angeles County, California",581
"G06003702188002","2005-2009",,,"California","06","Los Angeles County","037",,,"218800","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2188, Los Angeles County, California",370
"G06003702189001","2005-2009",,,"California","06","Los Angeles County","037",,,"218900","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2189, Los Angeles County, California",326
"G06003702189002","2005-2009",,,"California","06","Los Angeles County","037",,,"218900","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2189, Los Angeles County, California",970
"G06003702189003","2005-2009",,,"California","06","Los Angeles County","037",,,"218900","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2189, Los Angeles County, California",746
"G06003702189004","2005-2009",,,"California","06","Los Angeles County","037",,,"218900","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 2189, Los Angeles County, California",139
"G06003702190101","2005-2009",,,"California","06","Los Angeles County","037",,,"219010","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2190.10, Los Angeles County, California",312
"G06003702190102","2005-2009",,,"California","06","Los Angeles County","037",,,"219010","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2190.10, Los Angeles County, California",510
"G06003702190201","2005-2009",,,"California","06","Los Angeles County","037",,,"219020","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2190.20, Los Angeles County, California",497
"G06003702190202","2005-2009",,,"California","06","Los Angeles County","037",,,"219020","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2190.20, Los Angeles County, California",463
"G06003702190203","2005-2009",,,"California","06","Los Angeles County","037",,,"219020","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2190.20, Los Angeles County, California",446
"G06003702193001","2005-2009",,,"California","06","Los Angeles County","037",,,"219300","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2193, Los Angeles County, California",333
"G06003702193002","2005-2009",,,"California","06","Los Angeles County","037",,,"219300","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2193, Los Angeles County, California",486
"G06003702193003","2005-2009",,,"California","06","Los Angeles County","037",,,"219300","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2193, Los Angeles County, California",615
"G06003702195001","2005-2009",,,"California","06","Los Angeles County","037",,,"219500","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2195, Los Angeles County, California",323
"G06003702195002","2005-2009",,,"California","06","Los Angeles County","037",,,"219500","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2195, Los Angeles County, California",458
"G06003702197001","2005-2009",,,"California","06","Los Angeles County","037",,,"219700","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2197, Los Angeles County, California",524
"G06003702197002","2005-2009",,,"California","06","Los Angeles County","037",,,"219700","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2197, Los Angeles County, California",386
"G06003702197003","2005-2009",,,"California","06","Los Angeles County","037",,,"219700","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2197, Los Angeles County, California",78
"G06003702198001","2005-2009",,,"California","06","Los Angeles County","037",,,"219800","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2198, Los Angeles County, California",538
"G06003702198002","2005-2009",,,"California","06","Los Angeles County","037",,,"219800","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2198, Los Angeles County, California",399
"G06003702198003","2005-2009",,,"California","06","Los Angeles County","037",,,"219800","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2198, Los Angeles County, California",651
"G06003702199001","2005-2009",,,"California","06","Los Angeles County","037",,,"219900","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2199, Los Angeles County, California",408
"G06003702199002","2005-2009",,,"California","06","Los Angeles County","037",,,"219900","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2199, Los Angeles County, California",534
"G06003702199003","2005-2009",,,"California","06","Los Angeles County","037",,,"219900","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2199, Los Angeles County, California",585
"G06003702199004","2005-2009",,,"California","06","Los Angeles County","037",,,"219900","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 2199, Los Angeles County, California",244
"G06003702200001","2005-2009",,,"California","06","Los Angeles County","037",,,"220000","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2200, Los Angeles County, California",590
"G06003702200002","2005-2009",,,"California","06","Los Angeles County","037",,,"220000","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2200, Los Angeles County, California",453
"G06003702200003","2005-2009",,,"California","06","Los Angeles County","037",,,"220000","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2200, Los Angeles County, California",267
"G06003702200004","2005-2009",,,"California","06","Los Angeles County","037",,,"220000","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 2200, Los Angeles County, California",299
"G06003702200005","2005-2009",,,"California","06","Los Angeles County","037",,,"220000","5",,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 2200, Los Angeles County, California",505
"G06003702201001","2005-2009",,,"California","06","Los Angeles County","037",,,"220100","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2201, Los Angeles County, California",402
"G06003702201002","2005-2009",,,"California","06","Los Angeles County","037",,,"220100","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2201, Los Angeles County, California",236
"G06003702201003","2005-2009",,,"California","06","Los Angeles County","037",,,"220100","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2201, Los Angeles County, California",436
"G06003702211101","2005-2009",,,"California","06","Los Angeles County","037",,,"221110","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2211.10, Los Angeles County, California",255
"G06003702211102","2005-2009",,,"California","06","Los Angeles County","037",,,"221110","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2211.10, Los Angeles County, California",885
"G06003702211201","2005-2009",,,"California","06","Los Angeles County","037",,,"221120","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2211.20, Los Angeles County, California",357
"G06003702211202","2005-2009",,,"California","06","Los Angeles County","037",,,"221120","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2211.20, Los Angeles County, California",529
"G06003702212101","2005-2009",,,"California","06","Los Angeles County","037",,,"221210","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2212.10, Los Angeles County, California",271
"G06003702212102","2005-2009",,,"California","06","Los Angeles County","037",,,"221210","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2212.10, Los Angeles County, California",651
"G06003702212201","2005-2009",,,"California","06","Los Angeles County","037",,,"221220","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2212.20, Los Angeles County, California",483
"G06003702212202","2005-2009",,,"California","06","Los Angeles County","037",,,"221220","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2212.20, Los Angeles County, California",571
"G06003702213011","2005-2009",,,"California","06","Los Angeles County","037",,,"221301","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2213.01, Los Angeles County, California",460
"G06003702213014","2005-2009",,,"California","06","Los Angeles County","037",,,"221301","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 2213.01, Los Angeles County, California",649
"G06003702213015","2005-2009",,,"California","06","Los Angeles County","037",,,"221301","5",,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 2213.01, Los Angeles County, California",732
"G06003702213021","2005-2009",,,"California","06","Los Angeles County","037",,,"221302","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2213.02, Los Angeles County, California",722
"G06003702213022","2005-2009",,,"California","06","Los Angeles County","037",,,"221302","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2213.02, Los Angeles County, California",690
"G06003702214001","2005-2009",,,"California","06","Los Angeles County","037",,,"221400","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2214, Los Angeles County, California",963
"G06003702214002","2005-2009",,,"California","06","Los Angeles County","037",,,"221400","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2214, Los Angeles County, California",486
"G06003702214003","2005-2009",,,"California","06","Los Angeles County","037",,,"221400","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2214, Los Angeles County, California",339
"G06003702215001","2005-2009",,,"California","06","Los Angeles County","037",,,"221500","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2215, Los Angeles County, California",613
"G06003702215002","2005-2009",,,"California","06","Los Angeles County","037",,,"221500","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2215, Los Angeles County, California",332
"G06003702215003","2005-2009",,,"California","06","Los Angeles County","037",,,"221500","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2215, Los Angeles County, California",857
"G06003702216001","2005-2009",,,"California","06","Los Angeles County","037",,,"221600","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2216, Los Angeles County, California",567
"G06003702216002","2005-2009",,,"California","06","Los Angeles County","037",,,"221600","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2216, Los Angeles County, California",499
"G06003702216003","2005-2009",,,"California","06","Los Angeles County","037",,,"221600","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2216, Los Angeles County, California",337
"G06003702217101","2005-2009",,,"California","06","Los Angeles County","037",,,"221710","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2217.10, Los Angeles County, California",279
"G06003702217102","2005-2009",,,"California","06","Los Angeles County","037",,,"221710","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2217.10, Los Angeles County, California",161
"G06003702217103","2005-2009",,,"California","06","Los Angeles County","037",,,"221710","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2217.10, Los Angeles County, California",623
"G06003702217104","2005-2009",,,"California","06","Los Angeles County","037",,,"221710","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 2217.10, Los Angeles County, California",353
"G06003702218101","2005-2009",,,"California","06","Los Angeles County","037",,,"221810","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2218.10, Los Angeles County, California",390
"G06003702218102","2005-2009",,,"California","06","Los Angeles County","037",,,"221810","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2218.10, Los Angeles County, California",551
"G06003702218201","2005-2009",,,"California","06","Los Angeles County","037",,,"221820","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2218.20, Los Angeles County, California",347
"G06003702218202","2005-2009",,,"California","06","Los Angeles County","037",,,"221820","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2218.20, Los Angeles County, California",694
"G06003702219001","2005-2009",,,"California","06","Los Angeles County","037",,,"221900","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2219, Los Angeles County, California",942
"G06003702219002","2005-2009",,,"California","06","Los Angeles County","037",,,"221900","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2219, Los Angeles County, California",232
"G06003702220001","2005-2009",,,"California","06","Los Angeles County","037",,,"222000","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2220, Los Angeles County, California",491
"G06003702220002","2005-2009",,,"California","06","Los Angeles County","037",,,"222000","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2220, Los Angeles County, California",619
"G06003702220003","2005-2009",,,"California","06","Los Angeles County","037",,,"222000","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2220, Los Angeles County, California",320
"G06003702220004","2005-2009",,,"California","06","Los Angeles County","037",,,"222000","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 2220, Los Angeles County, California",186
"G06003702220005","2005-2009",,,"California","06","Los Angeles County","037",,,"222000","5",,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 2220, Los Angeles County, California",351
"G06003702220006","2005-2009",,,"California","06","Los Angeles County","037",,,"222000","6",,,,,,,,,,,,,,,,,,,,,,"Block Group 6, Census Tract 2220, Los Angeles County, California",392
"G06003702221001","2005-2009",,,"California","06","Los Angeles County","037",,,"222100","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2221, Los Angeles County, California",587
"G06003702221002","2005-2009",,,"California","06","Los Angeles County","037",,,"222100","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2221, Los Angeles County, California",220
"G06003702221003","2005-2009",,,"California","06","Los Angeles County","037",,,"222100","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2221, Los Angeles County, California",323
"G06003702222001","2005-2009",,,"California","06","Los Angeles County","037",,,"222200","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2222, Los Angeles County, California",691
"G06003702222002","2005-2009",,,"California","06","Los Angeles County","037",,,"222200","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2222, Los Angeles County, California",465
"G06003702225001","2005-2009",,,"California","06","Los Angeles County","037",,,"222500","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2225, Los Angeles County, California",433
"G06003702225002","2005-2009",,,"California","06","Los Angeles County","037",,,"222500","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2225, Los Angeles County, California",566
"G06003702225003","2005-2009",,,"California","06","Los Angeles County","037",,,"222500","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2225, Los Angeles County, California",380
"G06003702226001","2005-2009",,,"California","06","Los Angeles County","037",,,"222600","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2226, Los Angeles County, California",536
"G06003702226002","2005-2009",,,"California","06","Los Angeles County","037",,,"222600","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2226, Los Angeles County, California",752
"G06003702226003","2005-2009",,,"California","06","Los Angeles County","037",,,"222600","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2226, Los Angeles County, California",444
"G06003702227001","2005-2009",,,"California","06","Los Angeles County","037",,,"222700","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2227, Los Angeles County, California",0
"G06003702227002","2005-2009",,,"California","06","Los Angeles County","037",,,"222700","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2227, Los Angeles County, California",48
"G06003702227003","2005-2009",,,"California","06","Los Angeles County","037",,,"222700","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2227, Los Angeles County, California",0
"G06003702240101","2005-2009",,,"California","06","Los Angeles County","037",,,"224010","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2240.10, Los Angeles County, California",58
"G06003702240102","2005-2009",,,"California","06","Los Angeles County","037",,,"224010","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2240.10, Los Angeles County, California",91
"G06003702240103","2005-2009",,,"California","06","Los Angeles County","037",,,"224010","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2240.10, Los Angeles County, California",604
"G06003702240104","2005-2009",,,"California","06","Los Angeles County","037",,,"224010","4",,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 2240.10, Los Angeles County, California",403
"G06003702240201","2005-2009",,,"California","06","Los Angeles County","037",,,"224020","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2240.20, Los Angeles County, California",199
"G06003702240202","2005-2009",,,"California","06","Los Angeles County","037",,,"224020","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2240.20, Los Angeles County, California",427
"G06003702242001","2005-2009",,,"California","06","Los Angeles County","037",,,"224200","1",,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2242, Los Angeles County, California",19
"G06003702242002","2005-2009",,,"California","06","Los Angeles County","037",,,"224200","2",,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2242, Los Angeles County, California",61
"G06003702242003","2005-2009",,,"California","06","Los Angeles County","037",,,"224200","3",,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2242, Los Angeles County, California",306
